date,region,search_interest,delivery_orders,ride_requests,freelance_jobs,active_users,urban_activity
2023-01-25,Dammam,35.2,,3766,194,14041,38.1
2023-01-25,Jeddah,41.9,3788,5607,261,16574,48.6
2023-01-25,Madinah,,3177,3705,167,12131,34.2
2023-01-25,Makkah,35.4,3519,4105,195,14763,
2023-01-25,Riyadh,55.0,4868,6039,270,25235,50.4
2023-01-26,Dammam,40.4,3569,4175,195,15583,46.5
2023-01-26,Jeddah,47.6,4599,6171,269,21505,51.8
2023-01-26,Madinah,34.8,3266,4819,179,14660,40.1
2023-01-26,Makkah,,4429,4970,212,19021,51.2
2023-01-26,Riyadh,53.5,6071,6455,302,26489,63.8
2023-01-27,Dammam,43.9,3420,4730,225,15025,48.3
2023-01-27,Jeddah,53.0,4659,5713,251,22830,54.7
2023-01-27,Madinah,34.6,3308,4035,178,14054,38.9
2023-01-27,Makkah,38.5,3972,5105,229,14839,42.7
2023-01-27,Riyadh,59.7,4998,6775,271,23998,71.6
2023-01-28,Dammam,32.3,2863,4373,202,,38.9
2023-01-28,Jeddah,43.2,3908,5123,232,18645,45.4
2023-01-28,Madinah,30.0,2633,3550,175,10852,34.9
2023-01-28,Makkah,33.0,3170,4579,208,14527,40.5
2023-01-28,Riyadh,46.5,4588,6044,317,19909,53.6
2023-01-29,Dammam,37.0,,4843,,14519,35.9
2023-01-29,Jeddah,41.5,4130,5048,231,18482,47.6
2023-01-29,Madinah,33.6,2895,3572,191,13456,35.9
2023-01-29,Makkah,39.4,3566,4588,209,14879,36.1
2023-01-29,Riyadh,46.7,4885,5449,264,22248,49.5
2023-01-30,Dammam,38.2,3198,4407,194,15084,
2023-01-30,Jeddah,43.6,4524,5375,271,18293,50.5
2023-01-30,Madinah,31.1,2973,3476,182,11992,32.9
2023-01-30,Makkah,35.2,3629,4220,209,15607,45.9
2023-01-30,Riyadh,44.4,4346,5933,299,,51.5
2023-01-31,Dammam,33.7,3518,3934,198,13801,36.1
2023-01-31,Jeddah,41.7,3639,5576,265,15968,48.5
2023-01-31,Madinah,29.6,2705,3375,187,12893,33.2
2023-01-31,Makkah,35.4,3118,4135,199,14236,37.4
2023-01-31,Riyadh,51.8,4539,6389,290,20608,59.2
2023-02-01,Dammam,35.8,2894,4058,211,15100,38.3
2023-02-01,Jeddah,37.8,3910,5299,248,18964,45.5
2023-02-01,Madinah,28.5,3051,3922,183,11842,35.0
2023-02-01,Makkah,,3334,4298,184,17338,40.4
2023-02-01,Riyadh,48.0,4995,5974,302,17657,
2023-02-02,Dammam,43.3,3330,4779,,18903,50.7
2023-02-02,Jeddah,57.7,4837,5372,246,21833,58.6
2023-02-02,Madinah,34.5,3052,,179,15297,39.0
2023-02-02,Makkah,42.8,4310,5760,237,19341,51.3
2023-02-02,Riyadh,56.2,5013,7401,257,25556,67.0
2023-02-03,Dammam,,3610,4699,216,17533,47.0
2023-02-03,Jeddah,49.2,4979,6832,250,23410,60.5
2023-02-03,Madinah,36.7,3204,4563,193,16781,42.2
2023-02-03,Makkah,45.6,3834,5000,205,18386,48.6
2023-02-03,Riyadh,57.2,5479,6552,296,25133,65.0
2023-02-04,Dammam,34.6,3175,4587,209,14783,40.9
2023-02-04,Jeddah,48.9,4047,5318,267,18508,50.6
2023-02-04,Madinah,31.2,2643,3877,192,13261,34.2
2023-02-04,Makkah,37.6,3502,4429,206,15747,38.8
2023-02-04,Riyadh,50.3,4774,6145,284,22662,61.2
2023-02-05,Dammam,37.4,3348,4342,211,14008,36.7
2023-02-05,Jeddah,41.2,4079,5085,244,18918,48.3
2023-02-05,Madinah,29.8,2532,3462,168,12970,33.0
2023-02-05,Makkah,34.1,4045,4167,219,15468,41.0
2023-02-05,Riyadh,51.1,4057,5550,294,21517,55.3
2023-02-06,Dammam,35.4,3152,4504,220,15217,36.2
2023-02-06,Jeddah,40.5,4216,5112,268,,48.5
2023-02-06,Madinah,31.0,2512,3586,155,12508,33.4
2023-02-06,Makkah,35.0,,4399,229,14993,44.7
2023-02-06,Riyadh,,4669,5745,314,20637,56.5
2023-02-07,Dammam,36.2,2990,4140,206,16330,37.2
2023-02-07,Jeddah,41.0,4371,4740,249,20337,42.5
2023-02-07,Madinah,32.7,2702,3599,188,12996,34.2
2023-02-07,Makkah,37.4,3595,4407,212,15823,42.1
2023-02-07,Riyadh,48.2,4529,5826,287,23082,59.9
2023-02-08,Dammam,34.3,3103,4033,196,14189,
2023-02-08,Jeddah,44.7,3762,5352,265,19527,52.7
2023-02-08,Madinah,30.8,2824,3469,194,13824,34.8
2023-02-08,Makkah,37.7,3370,,228,15436,39.3
2023-02-08,Riyadh,50.1,4436,5693,306,19826,59.9
2023-02-09,Dammam,46.0,4032,5006,210,19412,43.7
2023-02-09,Jeddah,53.6,5070,,245,23284,52.7
2023-02-09,Madinah,35.0,3721,4018,171,15910,40.5
2023-02-09,Makkah,41.4,,5220,211,18995,50.0
2023-02-09,Riyadh,59.8,5648,7059,315,27589,66.5
2023-02-10,Dammam,43.5,3722,4883,187,17914,44.5
2023-02-10,Jeddah,50.8,5049,6457,280,23329,61.1
2023-02-10,Madinah,37.2,3166,4407,167,13577,42.9
2023-02-10,Makkah,45.7,4245,4884,211,18468,48.2
2023-02-10,Riyadh,60.9,5283,6648,288,24119,68.4
2023-02-11,Dammam,34.5,3462,4661,219,16542,41.6
2023-02-11,Jeddah,47.1,4212,5214,276,20058,50.8
2023-02-11,Madinah,32.9,2774,3851,171,12852,
2023-02-11,Makkah,39.8,3266,4213,225,14416,40.7
2023-02-11,Riyadh,46.5,4504,5508,275,20851,54.9
2023-02-12,Dammam,36.5,3429,4170,223,,
2023-02-12,Jeddah,42.9,4106,5314,282,17564,51.0
2023-02-12,Madinah,30.9,2645,4120,174,12747,37.4
2023-02-12,Makkah,38.8,3209,4636,228,15714,40.5
2023-02-12,Riyadh,51.2,4752,6650,325,20283,60.9
2023-02-13,Dammam,37.2,2993,4110,197,14445,37.6
2023-02-13,Jeddah,46.8,4039,4917,285,19535,45.7
2023-02-13,Madinah,31.6,2996,4133,197,14406,37.2
2023-02-13,Makkah,36.6,3663,4615,235,17148,41.5
2023-02-13,Riyadh,52.5,4884,6597,296,20110,59.4
2023-02-14,Dammam,33.6,3362,4158,203,14359,40.4
2023-02-14,Jeddah,43.6,4232,5602,242,19173,48.2
2023-02-14,Madinah,32.4,2765,4372,177,12701,35.6
2023-02-14,Makkah,38.1,3288,4316,224,16521,39.8
2023-02-14,Riyadh,54.1,4189,6381,306,21576,54.9
2023-02-15,Dammam,36.7,3161,4268,202,15511,
2023-02-15,Jeddah,44.8,4494,5632,,20727,53.5
2023-02-15,Madinah,33.7,2983,3831,224,13228,35.6
2023-02-15,Makkah,33.1,3723,4608,242,16034,43.1
2023-02-15,Riyadh,48.2,4936,6731,296,21778,55.1
2023-02-16,Dammam,43.9,,5222,,17657,43.6
2023-02-16,Jeddah,55.4,4497,6703,287,22302,59.3
2023-02-16,Madinah,36.3,3475,4752,180,16940,42.0
2023-02-16,Makkah,46.9,,5356,232,17333,53.0
2023-02-16,Riyadh,66.5,5293,6735,278,26308,69.7
2023-02-17,Dammam,45.5,3880,4777,222,15896,41.2
2023-02-17,Jeddah,52.5,4798,6476,267,20900,58.6
2023-02-17,Madinah,37.9,3121,4424,192,14171,40.5
2023-02-17,Makkah,45.3,4226,5471,216,18989,46.3
2023-02-17,Riyadh,60.5,5760,6661,315,25644,71.5
2023-02-18,Dammam,40.7,3434,3512,210,14519,39.6
2023-02-18,Jeddah,49.5,4333,5122,272,19833,50.9
2023-02-18,Madinah,33.1,3054,4080,177,,34.2
2023-02-18,Makkah,38.5,3412,4288,248,16859,41.2
2023-02-18,Riyadh,53.7,5174,,312,20092,52.6
2023-02-19,Dammam,38.8,3463,4169,230,13975,41.8
2023-02-19,Jeddah,45.1,4075,,,18170,49.7
2023-02-19,Madinah,36.5,2888,4089,197,12535,38.5
2023-02-19,Makkah,38.2,3609,4773,220,17097,43.0
2023-02-19,Riyadh,55.0,4690,5294,307,19422,56.6
2023-02-20,Dammam,33.8,2890,3996,230,14255,38.9
2023-02-20,Jeddah,49.7,4364,5193,282,17753,48.9
2023-02-20,Madinah,30.1,3097,3796,199,10951,
2023-02-20,Makkah,36.0,3752,4608,237,16246,40.1
2023-02-20,Riyadh,48.2,4119,6458,326,21868,56.6
2023-02-21,Dammam,35.7,3397,3784,208,16155,37.3
2023-02-21,Jeddah,47.8,4032,,283,19799,48.5
2023-02-21,Madinah,34.2,3195,,193,12550,38.6
2023-02-21,Makkah,41.7,3440,4707,215,16863,44.4
2023-02-21,Riyadh,50.1,5388,5969,308,22715,54.6
2023-02-22,Dammam,33.1,3438,4022,238,15578,37.0
2023-02-22,Jeddah,40.9,4135,5487,265,20904,50.1
2023-02-22,Madinah,32.8,,3667,207,,40.0
2023-02-22,Makkah,41.3,4093,4072,243,16901,43.8
2023-02-22,Riyadh,47.7,4652,6444,316,23992,57.7
2023-02-23,Dammam,40.6,3637,4643,201,16258,45.7
2023-02-23,Jeddah,52.6,5321,6189,272,23531,59.3
2023-02-23,Madinah,,3653,,191,15462,48.5
2023-02-23,Makkah,46.7,,5202,217,18267,
2023-02-23,Riyadh,66.8,5248,7296,335,,67.6
2023-02-24,Dammam,42.4,3494,5281,215,17209,50.6
2023-02-24,Jeddah,50.5,5111,6588,294,22008,65.5
2023-02-24,Madinah,35.7,3705,4541,215,16556,44.3
2023-02-24,Makkah,44.7,4507,5459,242,20263,52.8
2023-02-24,Riyadh,54.7,5729,7169,295,26450,69.1
2023-02-25,Dammam,36.1,3419,3810,218,14843,38.4
2023-02-25,Jeddah,45.6,4284,5834,266,20196,50.7
2023-02-25,Madinah,31.0,3117,3715,189,13367,35.8
2023-02-25,Makkah,34.7,3512,4135,245,16299,39.2
2023-02-25,Riyadh,49.7,4693,6249,288,20501,57.8
2023-02-26,Dammam,37.4,3604,4279,217,16013,42.5
2023-02-26,Jeddah,48.7,4203,5563,259,21262,49.3
2023-02-26,Madinah,35.5,3456,3848,183,12904,39.6
2023-02-26,Makkah,36.6,3655,4406,223,15929,46.9
2023-02-26,Riyadh,46.9,4808,6019,366,21816,56.7
2023-02-27,Dammam,31.0,3467,4462,196,14190,39.0
2023-02-27,Jeddah,,4210,5646,249,19388,50.7
2023-02-27,Madinah,32.3,2954,3976,191,14442,36.4
2023-02-27,Makkah,38.0,3557,4412,219,16917,42.5
2023-02-27,Riyadh,47.5,4740,6030,344,20802,62.3
2023-02-28,Dammam,34.8,3362,4648,244,15061,42.9
2023-02-28,Jeddah,46.1,4170,,283,18751,55.6
2023-02-28,Madinah,32.6,3233,3977,224,13562,38.0
2023-02-28,Makkah,39.9,3287,,217,16146,
2023-02-28,Riyadh,55.3,5205,5708,330,24574,55.1
2023-03-01,Dammam,40.6,,4334,229,15382,38.8
2023-03-01,Jeddah,46.1,4401,5374,261,21732,50.9
2023-03-01,Madinah,32.3,2917,3655,184,13853,39.6
2023-03-01,Makkah,37.7,3700,,236,14427,42.5
2023-03-01,Riyadh,53.9,5293,6127,329,24424,56.1
2023-03-02,Dammam,,3828,5441,252,17731,52.3
2023-03-02,Jeddah,54.8,5021,5669,264,20447,65.8
2023-03-02,Madinah,39.8,3490,4724,189,19249,38.7
2023-03-02,Makkah,47.7,4244,5192,227,19267,44.8
2023-03-02,Riyadh,57.0,5646,7850,320,26166,67.5
2023-03-03,Dammam,40.7,3952,5767,210,17750,49.1
2023-03-03,Jeddah,59.1,5086,7415,306,22306,72.0
2023-03-03,Madinah,39.4,3299,4615,187,17645,38.8
2023-03-03,Makkah,48.0,4415,5324,238,20536,56.9
2023-03-03,Riyadh,58.8,5997,8484,,29267,65.7
2023-03-04,Dammam,35.9,3732,4804,,15561,40.5
2023-03-04,Jeddah,45.7,4475,5538,289,19781,44.2
2023-03-04,Madinah,32.5,3114,4083,190,13447,35.6
2023-03-04,Makkah,41.2,3792,4456,246,18043,41.8
2023-03-04,Riyadh,54.7,4574,6794,330,22695,60.8
2023-03-05,Dammam,37.8,3367,4037,228,16787,42.9
2023-03-05,Jeddah,43.3,4369,5447,268,19788,57.3
2023-03-05,Madinah,31.9,3025,4008,211,14758,38.1
2023-03-05,Makkah,42.6,3778,4374,236,17368,46.3
2023-03-05,Riyadh,54.3,5024,6319,290,20982,61.4
2023-03-06,Dammam,39.2,3489,5224,238,16078,41.1
2023-03-06,Jeddah,48.4,3930,5090,297,19759,48.1
2023-03-06,Madinah,31.7,2892,4162,196,15195,33.3
2023-03-06,Makkah,40.4,3659,4345,251,17153,37.1
2023-03-06,Riyadh,54.4,4607,5922,315,23906,60.7
2023-03-07,Dammam,39.2,3468,4293,207,14057,40.7
2023-03-07,Jeddah,48.4,4620,,274,19861,52.6
2023-03-07,Madinah,33.8,2872,3989,172,14548,37.0
2023-03-07,Makkah,40.0,3894,4658,271,16835,43.3
2023-03-07,Riyadh,49.9,5235,6105,297,21838,56.7
2023-03-08,Dammam,36.4,3821,4431,211,14662,39.6
2023-03-08,Jeddah,45.3,4449,5742,313,21213,53.7
2023-03-08,Madinah,37.6,3224,4328,179,13388,35.3
2023-03-08,Makkah,39.2,3868,5038,255,17106,46.9
2023-03-08,Riyadh,54.1,4976,5882,301,24725,61.4
2023-03-09,Dammam,42.9,4446,5513,195,15990,46.4
2023-03-09,Jeddah,54.0,5219,6152,300,20812,63.2
2023-03-09,Madinah,39.8,3537,4641,190,16399,47.6
2023-03-09,Makkah,46.0,4324,5659,249,18403,47.1
2023-03-09,Riyadh,,5857,8161,308,27041,66.9
2023-03-10,Dammam,45.6,4062,5646,223,18822,53.5
2023-03-10,Jeddah,49.0,5223,6145,318,26884,63.0
2023-03-10,Madinah,38.1,3754,4352,197,18896,48.1
2023-03-10,Makkah,49.3,4943,5105,231,19000,55.6
2023-03-10,Riyadh,57.1,5414,7839,349,26456,65.3
2023-03-11,Dammam,38.8,3627,4116,241,14532,42.0
2023-03-11,Jeddah,47.6,4512,5588,321,18922,51.2
2023-03-11,Madinah,35.1,3363,4160,215,12222,37.6
2023-03-11,Makkah,39.6,3564,5135,206,16314,42.5
2023-03-11,Riyadh,47.7,5072,6729,,21245,62.4
2023-03-12,Dammam,40.4,3496,4236,238,15297,39.0
2023-03-12,Jeddah,45.0,3988,,299,,57.8
2023-03-12,Madinah,32.6,,4419,201,13430,33.7
2023-03-12,Makkah,37.6,3758,5185,241,18356,45.3
2023-03-12,Riyadh,49.4,4862,6519,323,24682,53.0
2023-03-13,Dammam,39.4,3480,4296,201,14916,38.1
2023-03-13,Jeddah,48.4,4196,5404,293,18814,55.3
2023-03-13,Madinah,34.6,3283,3608,208,12629,35.6
2023-03-13,Makkah,40.6,3639,4562,254,17270,45.3
2023-03-13,Riyadh,55.3,4908,6619,328,23447,64.4
2023-03-14,Dammam,43.0,3596,4244,257,14656,40.1
2023-03-14,Jeddah,46.8,4409,6372,301,21406,50.7
2023-03-14,Madinah,30.3,3351,3803,217,15820,42.6
2023-03-14,Makkah,40.0,3526,4993,246,17291,50.4
2023-03-14,Riyadh,57.4,5203,6710,326,24840,54.8
2023-03-15,Dammam,36.9,4156,4272,227,17019,41.4
2023-03-15,Jeddah,45.1,4787,6020,279,20238,
2023-03-15,Madinah,34.6,3157,3928,183,14179,35.5
2023-03-15,Makkah,39.1,3455,5197,252,17696,41.3
2023-03-15,Riyadh,53.6,4657,6594,322,20520,63.2
2023-03-16,Dammam,47.9,4329,5210,238,18702,53.0
2023-03-16,Jeddah,57.9,5525,6340,279,25201,63.5
2023-03-16,Madinah,38.8,3752,4636,214,17818,45.5
2023-03-16,Makkah,53.5,,6523,220,19682,52.8
2023-03-16,Riyadh,64.4,5943,7492,341,27029,73.8
2023-03-17,Dammam,41.4,3844,5225,238,19940,44.7
2023-03-17,Jeddah,54.7,5106,,294,25155,62.0
2023-03-17,Madinah,46.0,3550,4638,219,15537,44.6
2023-03-17,Makkah,49.8,4426,5388,275,20718,56.4
2023-03-17,Riyadh,60.4,6128,7973,331,27243,77.7
2023-03-18,Dammam,37.6,3307,4448,248,16892,38.5
2023-03-18,Jeddah,45.0,4251,5546,266,21621,52.5
2023-03-18,Madinah,34.0,3052,4311,200,13489,39.3
2023-03-18,Makkah,38.5,3923,4735,235,16426,42.0
2023-03-18,Riyadh,54.7,5332,6666,,24441,64.0
2023-03-19,Dammam,37.9,3483,4975,226,14887,45.2
2023-03-19,Jeddah,44.1,4356,6246,301,19738,51.2
2023-03-19,Madinah,31.6,3011,3815,206,14509,34.8
2023-03-19,Makkah,43.6,3735,5118,245,16100,45.5
2023-03-19,Riyadh,,4826,5855,316,21268,67.0
2023-03-20,Dammam,35.8,3567,4182,236,15888,44.8
2023-03-20,Jeddah,53.4,4875,5939,299,19607,
2023-03-20,Madinah,35.5,3122,4117,208,12354,35.8
2023-03-20,Makkah,41.6,3690,5149,227,17117,44.4
2023-03-20,Riyadh,51.8,5059,6717,328,20120,65.9
2023-03-21,Dammam,38.5,3161,4702,231,16702,41.7
2023-03-21,Jeddah,46.9,,5476,278,20216,51.8
2023-03-21,Madinah,31.8,2995,3868,197,15085,35.4
2023-03-21,Makkah,39.9,4026,4866,274,15958,45.3
2023-03-21,Riyadh,55.3,5378,6774,353,22930,61.6
2023-03-22,Dammam,40.0,3716,4747,247,15810,39.5
2023-03-22,Jeddah,50.3,4625,5992,313,19215,53.8
2023-03-22,Madinah,35.9,3208,4200,203,15327,32.7
2023-03-22,Makkah,44.4,3810,4759,246,17012,48.8
2023-03-22,Riyadh,57.1,4641,6402,354,23932,62.4
2023-03-23,Dammam,47.0,4448,5405,206,18734,50.4
2023-03-23,Jeddah,58.0,5326,6852,274,23949,68.6
2023-03-23,Madinah,39.8,3448,4944,203,17895,41.1
2023-03-23,Makkah,52.6,4812,5968,233,20810,53.6
2023-03-23,Riyadh,60.5,5993,7567,310,28558,68.3
2023-03-24,Dammam,44.7,3866,5532,237,19525,52.9
2023-03-24,Jeddah,63.3,5276,6903,321,23127,62.1
2023-03-24,Madinah,40.0,3903,5349,176,16908,44.0
2023-03-24,Makkah,51.5,4606,5747,265,,59.1
2023-03-24,Riyadh,60.8,7336,7364,,28314,68.5
2023-03-25,Dammam,35.7,3596,4588,245,15068,44.3
2023-03-25,Jeddah,50.2,4345,5652,,20750,49.5
2023-03-25,Madinah,36.1,3117,4517,205,14372,34.6
2023-03-25,Makkah,42.3,3764,4713,,18503,45.3
2023-03-25,Riyadh,61.0,4986,7683,299,23919,60.3
2023-03-26,Dammam,,,4397,249,16863,43.7
2023-03-26,Jeddah,47.0,4587,5745,323,19805,58.1
2023-03-26,Madinah,35.7,3142,4052,199,14252,37.3
2023-03-26,Makkah,42.2,3591,5379,268,17569,46.5
2023-03-26,Riyadh,50.7,5238,6525,336,22510,61.3
2023-03-27,Dammam,38.9,3582,4493,233,16687,47.3
2023-03-27,Jeddah,50.4,4750,5647,317,20878,59.3
2023-03-27,Madinah,36.3,3262,4095,199,13883,42.8
2023-03-27,Makkah,45.5,3869,5335,,17143,47.2
2023-03-27,Riyadh,58.0,5030,6458,318,21404,67.8
2023-03-28,Dammam,40.4,3780,4434,206,16886,44.1
2023-03-28,Jeddah,48.6,4518,5622,276,20437,50.1
2023-03-28,Madinah,34.4,3267,3801,200,13423,
2023-03-28,Makkah,41.8,3547,4408,274,17445,48.0
2023-03-28,Riyadh,59.5,5545,6645,321,24351,
2023-03-29,Dammam,41.2,3771,4373,223,19420,42.5
2023-03-29,Jeddah,49.1,,6562,305,22177,53.7
2023-03-29,Madinah,35.0,2719,4131,204,15264,39.3
2023-03-29,Makkah,43.1,3814,5239,234,16641,49.9
2023-03-29,Riyadh,,4593,6470,318,21932,61.8
2023-03-30,Dammam,45.0,4548,5681,257,18404,50.8
2023-03-30,Jeddah,53.4,5613,7370,304,23680,62.7
2023-03-30,Madinah,41.4,3712,5145,213,15945,46.7
2023-03-30,Makkah,45.7,4179,,244,20293,50.1
2023-03-30,Riyadh,67.3,6122,8004,310,26551,69.8
2023-03-31,Dammam,49.7,4591,5436,262,19617,50.9
2023-03-31,Jeddah,62.6,6052,6216,289,24449,62.6
2023-03-31,Madinah,,3843,4507,207,16802,47.3
2023-03-31,Makkah,50.4,4371,6427,259,20530,54.7
